name,xcoord,ycoord,,
Fuji,85.313322,27.7141917,,
Global IME Bank,85.3151624,27.7130995,,
Wallstreet,85.313397,27.7141784,,
 ,85.3148294,27.7109088,,
 ,85.3152295,27.7115332,,
Global IME Bank ATM,85.315168,27.7131725,,
 ,85.3132262,27.7141959,,
tinhau bikash bank,84.4239387,27.6983111,,
Josi money changer,84.4252689,27.6995704,,
 ,85.3175804,27.7105367,,
 ,85.317577,27.710494,,
Rastiya Banijya Bank,85.2782488,27.6747919,,
Civil Bank Ltd.,85.2782353,27.6747947,,
Agricultural Development Bank Ltd.,85.2780545,27.6748411,,
manasalu bikas bank,84.4233689,27.6982564,,
tinau development bank,84.423927,27.6984588,,
lumbini bank limited,84.425945,27.6986136,,
tinau development bank ltd,84.4236373,27.6982683,,
tanan,84.4238075,27.6984652,,
Tinau bikash bank ltd,84.4237476,27.6984087,,
tinau development bank limited,84.4238105,27.6983227,,
pashchimanchal,84.4247355,27.6995499,,
nepal bank ltd,84.4253989,27.6995661,,
jochi money,84.4252346,27.6994789,,
NMB Bank ATM,85.3261242,27.6927134,,
NMB Bank ATM,85.3257755,27.6918845,,
standard chartered,84.4257216,27.6908355,,
Bank of Kathmandu,85.320088,27.710083,,
Global IME Bank,85.3202994,27.7100549,,
Goodwill Finance,85.3217475,27.7104671,,
Laxmi Bank,85.3220443,27.7115132,,
Nabil Bank,85.3201731,27.7100651,,
