Name_of_Br,xcoord,ycoord
Jirgaha,86.017,27.1680000000001
Besare,85.9901944440001,27.170416667
Dhamile,85.9800277780001,27.177055556
Gwang,85.9111111110001,27.211638889
Labda,85.9051111110001,27.227277778
Marin,85.8711111110001,27.264705556
Maheswota,85.751833333,27.2623611110001
Simat,85.193861111,27.3360555560001
Gandak Nahar,84.8838055560001,27.0784722220001
Sirsiya,84.9073611110001,27.083
Mahesh Khola,85.00075,27.8002500000001
Kolpa Khola Bridge,85.0161944440001,27.809833333
Jairung Khola,85.024722222,27.834694444
Thulo Khola Bridge,85.0809722220001,27.854472222
Tadi Khola Bridge,85.1090833330001,27.8583611110001
Sukhajor,86.0514166670001,27.3774722220001
Sunkoshi,86.0055555560001,27.336111111
Gwarko,85.3334722220001,27.6660833330001
Godabari,85.3649166670001,27.647222222
Fulchoki,85.432944444,27.5994166670001
Roshi,85.480111111,27.5896111110001
Punyamata,85.5136666670001,27.586666667
Sankheshwori,85.5735000000001,27.5742500000001
Punnemata,85.531972222,27.614527778
Mahesh Khola,85.1360277780001,27.7355555560001
Thulo Khola Bridge,85.272777778,27.787305556
Kolpu Khola 1,85.248222222,27.779944444
Kolpu Khola 2,85.2395833330001,27.7743611110001
Bishnumati Bridge,85.302416667,27.7137500000001
Bhadramati,85.282888889,27.716638889
Mahadev Khola,85.303222222,27.7408333330001
Bishnumati Khola,85.3163888890001,27.7447222220001
Samakhusi Khola Bridge,85.314611111,27.728083333
Bishnumati River Bridge,85.327444444,27.756083333
Shivapuri Khola Bridge,85.3218333330001,27.8035833330001
Chhahare River Bridge,85.284777778,27.8663333330001
Tadi River Bridge,85.207555556,27.8986944440001
Miteri Bridge,85.352861111,27.7361388890001
Damaged South Bridge,85.3494444440001,27.7313888890001
Dhobi Khola Bridge,85.3641666670001,27.7617222220001
Manohara Bridge,85.3644444440001,27.686305556
Hanumante Khola Bridge,85.4079166670001,27.6775000000001
Bagmati River Bridge,85.3726944440001,27.712222222
Manohara River Bridge,85.3936944440001,27.7037222220001
Hanumante Khola Bridge,85.353138889,27.667833333
Karma Nasa,85.3427777780001,27.6710833330001
Hanumante Khola Bridge,85.3645277780001,27.6732222220001
Manohara River Bridge,85.4110277780001,27.713944444
Sali Nadi,85.4696111110001,27.729222222
Chokin Chila,85.447805556,27.673527778
Nandemata,85.5120833330001,27.647722222
Mulsanghu,85.457777778,27.6822777780001
Budhi Gandaki,85.412333333,27.65175
Ghatte Khola Bridge,85.3963055560001,27.6603305560001
Bagmati,85.318888889,27.689611111
Bagmati,85.316638889,27.6892777780001
Nakhu,85.3058611110001,27.6649444440001
Tinthana Bridge,85.2620833330001,27.682055556
Manamati Bridge,85.284222222,27.699416667
Bumu,86.134666667,27.716111111
Singati,86.1624722220001,27.7396944440001
Tamakhosi(jamune),86.202777778,27.7721666670001
Tamakhosi(Jagat),86.2269444440001,27.820777778
Ghangur,86.2155000000001,27.845583333
Kamala Nahar,86.1226388890001,26.8531944440001
Jalad-1,85.9410833330001,26.735666667
Jalad-2,85.9857500000001,26.731472222
Jalad-3,85.9913333330001,26.730083333
Jamuni,86.010194444,26.7259722220001
Bimala Dhar,86.0617222220001,26.725416667
